N° d'horodateur;Alimentation;Modèle;Adresse;Arrondissement;Type de régime;Tarif du stationnement;Zone résidentielle;Tarif horaire;geo_shape;geo_point_2d
8332403;SOLAIRE;ECA1;279   RUE DE BELLEVILLE;19;MIX;Z2 MIX 6H 5U;19N;2.4;"{""type"": ""Point"", ""coordinates"": [2.401472999366832, 48.87593599926213]}";48.8759359993,2.40147299937
8350501;SOLAIRE;ECA1;23   RUE DE BELLEVUE;19;MIX;Z2 MIX 6H 5U;19N;2.4;"{""type"": ""Point"", ""coordinates"": [2.3949029997744242, 48.87962399943486]}";48.8796239994,2.39490299977
8380701;SOLAIRE;ECA1;159   RUE BELLIARD;18;MIX;Z2 MIX 6H 5U;18P;2.4;"{""type"": ""Point"", ""coordinates"": [2.331888000479686, 48.89586099924729]}";48.8958609992,2.33188800048
8380901;SOLAIRE;ECA1;187   RUE BELLIARD;18;MIX;Z2 MIX 6H 5U;18P;2.4;"{""type"": ""Point"", ""coordinates"": [2.329399999814122, 48.895610998643356]}";48.8956109986,2.32939999981
8750106;SOLAIRE;ECA1;10   RUE BERBIER DU METS;13;MIX;Z2 MIX 6H 5U;13J;2.4;"{""type"": ""Point"", ""coordinates"": [2.351333000512238, 48.8346219988165]}";48.8346219988,2.35133300051
8920102;SOLAIRE;ECA1;3  vis-à-vis RUE DE BERITE;6;MIX;Z1 MIX 6H 5U;6F;4.0;"{""type"": ""Point"", ""coordinates"": [2.324014000490521, 48.84779599943151]}";48.8477959994,2.32401400049
9520302;PILE;ECM1;37  vis-à-vis RUE BICHAT;10;MIX;Z1 MIX 6H 5U;10E;4.0;"{""type"": ""Point"", ""coordinates"": [2.367471999727417, 48.872074998781436]}";48.8720749988,2.36747199973
10191501;PILE;ECM1;125   RUE BLOMET;15;MIX;Z2 MIX 6H 5U;15R;2.4;"{""type"": ""Point"", ""coordinates"": [2.296865999973152, 48.83976199939119]}";48.8397619994,2.29686599997
10740504;PILE;ECM1;46   RUE BOISSIERE;16;MIX;Z2 MIX 6H 5U;16I;2.4;"{""type"": ""Point"", ""coordinates"": [2.28898900031802, 48.86743399933119]}";48.8674339993,2.28898900032
11120302;SOLAIRE;ECA1;16   RUE DU BORREGO;20;MIX;Z2 MIX 6H 5U;20M;2.4;"{""type"": ""Point"", ""coordinates"": [2.399641000156852, 48.87275499944476]}";48.8727549994,2.39964100016
