Identifiant station;Nom de la station;Capacité de la station;Coordonnées géographiques
9006;Dunkerque - Trudaine;16;48.8821516677,2.34632536769
31005;Square Denise Buisson;45;48.8562322731,2.42643624544
15039;Abbé Groult - Convention;12;48.8359692787,2.30206403951
8116;Champs-Elysees - Bassano;25;48.8718118078,2.30023898184
9007;Condorcet - Turgot;20;48.8798515579,2.34523236752
33103;Jean Jaurès - Jules Jacquemin;24;48.884330536,2.40829024552
15008;Sèvres - Lecourbe;62;48.8447677,2.3110086
1006;Grande Truanderie - Saint-Denis;33;48.8626302,2.3498075
16013;Mairie du 16ème;35;48.8639368485,2.27659530938
6104;Herschel - Observatoire;37;48.8434237622,2.33766451478
4007;Place de la Bastille - Bourdon;35;48.8523643553,2.3681089282
9019;Victor Massé - Jean-Baptiste Pigalle;0;48.8811043724,2.33669556677
2102;Saint-Marc - Feydeau;37;48.8703106614,2.34197918326
18047;St-Ouen - Lamarck;45;48.8910830403,2.32673569484
18021;Marcadet - Ramey;21;48.890875,2.3449019
20013;Alexandre Dumas - Place de la Réunion;45;48.8553371074,2.39977036876
11018;Saint-Maur - République;38;48.8641858615,2.37831741571
12039;Général Michel Bizot - Claude Decaen;38;48.8348126298,2.40092778813
21216;Louis Lejeune - Barbès;25;48.8180741898,2.32670098543
19027;Serrurier;18;48.8804934032,2.39806417376
13030;Italie - Tolbiac;21;48.8255722946,2.35761713237
9035;Gare Saint-Lazare - Place de Budapest;44;48.877753,2.327339
18107;Chartres - La Charbonnière;34;48.8847601,2.3534657
20037;Gambetta - Saint Fargeau;24;48.8712446104,2.40390568972
15109;Cevennes - Bergers;29;48.8424076513,2.28103771806
18022;Marcadet - Barbès;37;48.890451121,2.34905739297
41404;Carnot - Pâquerettes;26;48.7959293943,2.42618411779
25003;Henri Ste-Claire Déville - Paul Héroult;24;48.892663,2.172411
16038;Molitor - Chardon-Lagache;34;48.8452088018,2.2656840831
16040;Exelmans - Michel-Ange;33;48.8430948665,2.25977708007
42015;Place Jean Ferrat;25;48.8184945213,2.37441748381
31012;Place Carnot;25;48.8559393219,2.44153171778
31702;Pierre et Marie Curie - Julien Grimau;18;48.8707140149,2.4240970239
17007;Navier - Epinettes;36;48.8958778077,2.32267767191
10015;Lucien Sampaix - Récollets;46;48.8743303776,2.36212290823
9115;Milton - Manuel;22;48.878249,2.341181
35014;Charles de Gaulle - Jean Lolive;26;48.8932644351,2.4126765132
21310;Kléber - Gouverneur Général Eboué;24;48.8268858431,2.27234132588
20016;Pyrénées - Maraîchers;19;48.857140014,2.40435093641
10028;Gare du Nord - Dunkerque;29;48.8804235084,2.35276367515
6032;Sabot - Rennes;26;48.8525751129,2.33155276626
2001;Greneta - Sebastopol;32;48.8652423332,2.35166698694
7013;Duroc - Place de Breteuil;42;48.8474606411,2.31261402369
6014;Pont de Lodi - Dauphine;23;48.8552968986,2.33994730757
11019;Charonne - Philippe-Auguste;32;48.855603162,2.39054639062
3101;Porte Saint-Martin;35;48.8686017211,2.3557010293
4109;Mornay - Sully;15;48.8497039955,2.36446078867
21952;Place Tony de Graaff;42;48.8181645,2.2458109
35004;Place du Président Salvador Allende;60;48.8973073104,2.40079153681
13020;Paul Klee - Place Augusta Holmes;43;48.8389464174,2.3704235664
9029;Saint-Lazare - Place d'Estienne d'Orves;39;48.8768345,2.3329067
6024;Saint-Germain-des-Prés;26;48.8541851082,2.33030587435
21031;Cimetière communal;40;48.830764,2.252024
21028;Pierre Lefaucheux - Traversière;35;48.824352083,2.24179130048
13011;Hôpital - Campo-Formio;16;48.835405,2.358218
21204;Estienne d'Orves - Henri Ginoux;31;48.8153882204,2.32088679076
16011;Victor Hugo - La Pompe;41;48.8679522247,2.28146318346
